Nama;Email;NIK;Jenis_Dokumen;Tanggal_Permohonan;Status;Tanggal_Selesai
Dedi Wijaya;dediwijaya30@gmail.com;7846252953;Kartu Keluarga;11/20/2024;Diproses;11/26/2024
Fitri Andriani;fitriandriani33@gmail.com;3274779696;Akta Kelahiran;3/16/2025;Ditolak;3/19/2025
Ahmad Pranoto;ahmadpranoto19@gmail.com;5696378669;Akta Kelahiran;09/07/2024;Diproses;09/09/2024
Muhammad Wijaya;muhammadwijaya40@gmail.com;1694309442;Akta Kematian;12/15/2024;Diproses;12/17/2024
Rini Nugroho;rininugroho96@gmail.com;4817548008;Akta Kelahiran;06/03/2024;Ditolak;06/04/2024
Lia Saputra;liasaputra28@gmail.com;6867650028;Akta Kematian;6/25/2024;Diproses;6/28/2024
Hendro Santoso;hendrosantoso14@gmail.com;123328945;Akta Kelahiran;04/06/2025;Diproses;04/12/2025
Adi Sirait;adisirait16@gmail.com;519408833;Akta Kematian;05/01/2025;Disetujui;05/03/2025
Rini Andriani;riniandriani57@gmail.com;2099015748;KTP;2/15/2025;Ditolak;2/17/2025
Muhammad Santoso;muhammadsantoso13@gmail.com;6654305926;KTP;04/07/2025;Disetujui;4/14/2025
Yuni Hartono;yunihartono28@gmail.com;3660828803;Kartu Keluarga;4/15/2025;Diproses;4/16/2025
Rita Setiawan;ritasetiawan86@gmail.com;1597970979;Akta Kelahiran;1/22/2025;Diproses;1/26/2025
Fitri Saputra;fitrisaputra44@gmail.com;8613040706;Akta Kelahiran;12/24/2024;Diproses;12/26/2024
Maya Hartono;mayahartono93@gmail.com;9346791735;Kartu Keluarga;6/26/2024;Ditolak;07/03/2024
Rudi Hutapea;rudihutapea48@gmail.com;9509398663;Akta Kematian;09/07/2024;Diproses;09/09/2024
Indah Susanto;indahsusanto81@gmail.com;2237883550;KTP;1/16/2025;Ditolak;1/23/2025
Wati Kurniawan;watikurniawan95@gmail.com;5804895990;KTP;3/27/2025;Diproses;04/03/2025
Yulio Sirait;yuliosirait85@gmail.com;6211897017;Akta Kelahiran;12/29/2024;Ditolak;01/04/2025
Maya Hidayat;mayahidayat61@gmail.com;1306571602;Akta Kematian;01/01/2025;Diproses;01/04/2025
Eko Andriani;ekoandriani80@gmail.com;6632020559;Akta Kelahiran;05/09/2025;Ditolak;05/11/2025
Yulio Sirait;yuliosirait20@gmail.com;6851245308;Kartu Keluarga;4/17/2025;Diproses;4/19/2025
Hadi Gunawan;hadigunawan96@gmail.com;6302193535;Kartu Keluarga;7/18/2024;Diproses;7/21/2024
Taufik Gunawan;taufikgunawan40@gmail.com;9872462279;KTP;4/13/2025;Ditolak;4/16/2025
Ahmad Pranoto;ahmadpranoto99@gmail.com;5671518078;KTP;12/21/2024;Ditolak;12/25/2024
Ahmad Hutapea;ahmadhutapea66@gmail.com;5076986198;Akta Kelahiran;11/01/2024;Diproses;11/05/2024
Dedi Saputra;dedisaputra86@gmail.com;7578309529;KTP;06/01/2024;Ditolak;06/04/2024
Agus Susanto;agussusanto15@gmail.com;3896186463;Akta Kelahiran;8/14/2024;Ditolak;8/20/2024
Wati Saputra;watisaputra63@gmail.com;8724865045;Akta Kelahiran;2/21/2025;Ditolak;2/26/2025
Slamet Hutapea;slamethutapea86@gmail.com;4218785018;Akta Kematian;09/10/2024;Ditolak;9/16/2024
Eko Sirait;ekosirait36@gmail.com;8088875808;KTP;6/28/2024;Ditolak;07/05/2024
Yulio Kurniawan;yuliokurniawan51@gmail.com;7508442350;Akta Kematian;09/06/2024;Ditolak;09/07/2024
Adi Hutapea;adihutapea35@gmail.com;3916468822;Kartu Keluarga;01/03/2025;Disetujui;01/06/2025
Nurul Setiawan;nurulsetiawan28@gmail.com;2283957991;Akta Kelahiran;08/03/2024;Ditolak;08/10/2024
Erni Prasetyo;erniprasetyo48@gmail.com;9568968025;KTP;01/06/2025;Ditolak;01/10/2025
Hendro Wijaya;hendrowijaya16@gmail.com;6683533640;Akta Kelahiran;08/11/2024;Disetujui;8/18/2024
Nurul Saputra;nurulsaputra50@gmail.com;9329850745;Kartu Keluarga;11/20/2024;Disetujui;11/24/2024
Lia Prasetyo;liaprasetyo36@gmail.com;3476478676;KTP;12/02/2024;Diproses;12/08/2024
Erni Hartono;ernihartono14@gmail.com;9806325799;KTP;05/06/2025;Ditolak;05/11/2025
Rina Prasetyo;rinaprasetyo30@gmail.com;2828527363;Akta Kematian;8/31/2024;Diproses;09/02/2024
Indah Kurniawan;indahkurniawan12@gmail.com;3816620646;Kartu Keluarga;04/05/2025;Ditolak;04/07/2025
Rini Hutapea;rinihutapea51@gmail.com;3962356610;Akta Kematian;11/08/2024;Diproses;11/09/2024
Wati Prasetyo;watiprasetyo99@gmail.com;4157584171;Akta Kematian;07/07/2024;Disetujui;07/11/2024
Budi Wijaya;budiwijaya92@gmail.com;2371189085;Akta Kelahiran;10/09/2024;Disetujui;10/15/2024
Susan Nugroho;susannugroho84@gmail.com;9253942010;Akta Kematian;10/25/2024;Diproses;10/26/2024
Erni Nugroho;erninugroho23@gmail.com;5958256624;Akta Kematian;4/22/2025;Disetujui;4/27/2025
Hendro Hartono;hendrohartono67@gmail.com;1334900038;Akta Kelahiran;06/06/2024;Disetujui;06/09/2024
Indah Hutapea;indahhutapea37@gmail.com;8571913106;Akta Kelahiran;11/14/2024;Diproses;11/21/2024
Adi Hidayat;adihidayat37@gmail.com;2150199308;Akta Kelahiran;09/08/2024;Disetujui;9/15/2024
Hadi Pranoto;hadipranoto15@gmail.com;2927323315;Akta Kematian;7/25/2024;Diproses;7/26/2024
Muhammad Hidayat;muhammadhidayat91@gmail.com;8785768843;KTP;10/29/2024;Disetujui;10/30/2024
Wati Prasetyo;watiprasetyo70@gmail.com;5273522550;Akta Kelahiran;11/18/2024;Ditolak;11/23/2024
Rudi Andriani;rudiandriani10@gmail.com;5511857632;KTP;08/05/2024;Ditolak;08/08/2024
Muhammad Saputra;muhammadsaputra69@gmail.com;1091936682;Akta Kematian;8/23/2024;Disetujui;8/24/2024
Ani Gunawan;anigunawan76@gmail.com;9315671682;Akta Kematian;01/07/2025;Diproses;01/10/2025
Agus Kurniawan;aguskurniawan80@gmail.com;579616664;Akta Kematian;8/25/2024;Disetujui;8/31/2024
Budi Hartono;budihartono81@gmail.com;4343414147;KTP;8/23/2024;Ditolak;8/26/2024
Yuni Prasetyo;yuniprasetyo63@gmail.com;4265533737;KTP;12/15/2024;Ditolak;12/17/2024
Lia Kurniawan;liakurniawan94@gmail.com;3773010054;Akta Kelahiran;12/01/2024;Disetujui;12/02/2024
Agus Setiawan;agussetiawan62@gmail.com;5095631283;Akta Kematian;8/20/2024;Diproses;8/22/2024
Iwan Hartono;iwanhartono28@gmail.com;2312122227;Akta Kematian;3/18/2025;Disetujui;3/20/2025
Ahmad Susanto;ahmadsusanto48@gmail.com;4783950424;KTP;06/07/2024;Disetujui;6/13/2024
Agus Andriani;agusandriani96@gmail.com;1647774814;Akta Kematian;02/03/2025;Diproses;02/06/2025
Rina Hidayat;rinahidayat78@gmail.com;5234363627;Akta Kelahiran;4/21/2025;Disetujui;4/24/2025
Susan Setiawan;susansetiawan33@gmail.com;9742731662;Akta Kematian;12/23/2024;Diproses;12/29/2024
Adi Nugroho;adinugroho70@gmail.com;5110080093;Akta Kematian;01/08/2025;Ditolak;1/14/2025
Eko Pranoto;ekopranoto43@gmail.com;8648837720;Akta Kelahiran;01/06/2025;Disetujui;01/10/2025
Yuni Wijaya;yuniwijaya29@gmail.com;8535512486;KTP;05/05/2025;Ditolak;05/09/2025
Lia Sirait;liasirait45@gmail.com;5426447682;KTP;3/30/2025;Diproses;04/03/2025
Iwan Gunawan;iwangunawan52@gmail.com;2418647867;KTP;08/11/2024;Ditolak;08/12/2024
Dedi Sirait;dedisirait20@gmail.com;3613479133;KTP;1/28/2025;Disetujui;02/04/2025
Iwan Gunawan;iwangunawan50@gmail.com;7869343443;KTP;05/06/2025;Ditolak;05/12/2025
Bambang Sirait;bambangsirait39@gmail.com;71660026;Kartu Keluarga;08/11/2024;Disetujui;08/12/2024
Hadi Santoso;hadisantoso73@gmail.com;5967677079;Akta Kelahiran;08/02/2024;Diproses;08/06/2024
Bambang Pranoto;bambangpranoto76@gmail.com;6868869697;KTP;11/30/2024;Disetujui;12/01/2024
Dewi Nugroho;dewinugroho83@gmail.com;6648005557;Akta Kematian;12/26/2024;Diproses;12/29/2024
Indah Wijaya;indahwijaya78@gmail.com;7992415470;KTP;05/12/2025;Diproses;5/18/2025
Ahmad Andriani;ahmadandriani66@gmail.com;3558584402;Kartu Keluarga;1/28/2025;Diproses;02/02/2025
Hendro Santoso;hendrosantoso81@gmail.com;2881413161;KTP;10/22/2024;Disetujui;10/25/2024
Iwan Hartono;iwanhartono81@gmail.com;6528293667;Akta Kematian;1/31/2025;Diproses;02/01/2025
Rita Hartono;ritahartono40@gmail.com;3250556661;Kartu Keluarga;10/13/2024;Diproses;10/14/2024
Yulio Santoso;yuliosantoso19@gmail.com;4650484877;KTP;1/13/2025;Disetujui;1/14/2025
Hendro Prasetyo;hendroprasetyo23@gmail.com;401689559;Akta Kematian;08/05/2024;Ditolak;08/10/2024
Rita Pranoto;ritapranoto55@gmail.com;1240343151;KTP;04/10/2025;Diproses;04/11/2025
Taufik Susanto;taufiksusanto90@gmail.com;4076953733;KTP;3/16/2025;Diproses;3/18/2025
Dewi Hartono;dewihartono45@gmail.com;6519600028;Akta Kelahiran;11/08/2024;Ditolak;11/10/2024
Rita Nugroho;ritanugroho55@gmail.com;1698152062;Akta Kematian;5/20/2024;Disetujui;5/24/2024
Eko Pranoto;ekopranoto71@gmail.com;4348367584;KTP;03/03/2025;Diproses;03/07/2025
Erni Hidayat;ernihidayat25@gmail.com;1310283422;Akta Kelahiran;02/07/2025;Diproses;02/08/2025
Susan Susanto;susansusanto50@gmail.com;3666728369;Akta Kelahiran;09/01/2024;Ditolak;09/08/2024
Indah Setiawan;indahsetiawan77@gmail.com;4643850325;KTP;03/04/2025;Disetujui;03/08/2025
Yuni Gunawan;yunigunawan16@gmail.com;3843055806;Akta Kelahiran;8/13/2024;Diproses;8/15/2024
Iwan Gunawan;iwangunawan43@gmail.com;6315644998;Kartu Keluarga;06/01/2024;Ditolak;06/07/2024
Maya Setiawan;mayasetiawan79@gmail.com;8708062160;Akta Kelahiran;8/29/2024;Disetujui;09/01/2024
Bambang Setiawan;bambangsetiawan72@gmail.com;3382154353;KTP;07/03/2024;Diproses;07/04/2024
Dewi Hartono;dewihartono43@gmail.com;896391284;Kartu Keluarga;06/05/2024;Diproses;06/07/2024
Susan Gunawan;susangunawan28@gmail.com;5348504794;Akta Kematian;04/08/2025;Disetujui;04/12/2025
Slamet Andriani;slametandriani81@gmail.com;1635345140;Akta Kematian;07/06/2024;Ditolak;7/13/2024
Rini Pranoto;rinipranoto59@gmail.com;2083522640;KTP;6/28/2024;Ditolak;6/30/2024
Muhammad Pranoto;muhammadpranoto21@gmail.com;5031606747;Kartu Keluarga;04/10/2025;Disetujui;04/12/2025
Rina Hidayat;rinahidayat87@gmail.com;4123727278;Kartu Keluarga;9/20/2024;Diproses;9/23/2024
Slamet Pranoto;slametpranoto96@gmail.com;1023418506;Kartu Keluarga;2/19/2025;Disetujui;2/23/2025
Muhammad Pranoto;muhammadpranoto53@gmail.com;1089958771;Akta Kelahiran;7/15/2024;Disetujui;7/19/2024
Wati Hutapea;watihutapea74@gmail.com;4909716877;Akta Kelahiran;4/24/2025;Disetujui;4/25/2025
Muhammad Kurniawan;muhammadkurniawan60@gmail.com;9665086261;KTP;11/16/2024;Diproses;11/23/2024
Taufik Prasetyo;taufikprasetyo11@gmail.com;7987860534;KTP;03/11/2025;Diproses;3/17/2025
Ani Gunawan;anigunawan71@gmail.com;9979715946;Kartu Keluarga;4/21/2025;Diproses;4/23/2025
Iwan Setiawan;iwansetiawan19@gmail.com;8249318457;KTP;12/18/2024;Disetujui;12/21/2024
Bambang Gunawan;bambanggunawan40@gmail.com;7790887124;Akta Kelahiran;10/20/2024;Disetujui;10/25/2024
Rudi Andriani;rudiandriani54@gmail.com;3210565905;KTP;10/16/2024;Disetujui;10/18/2024
Siti Setiawan;sitisetiawan62@gmail.com;8902997983;Akta Kelahiran;5/20/2024;Disetujui;5/22/2024
Muhammad Wijaya;muhammadwijaya95@gmail.com;3285491904;Akta Kelahiran;11/19/2024;Disetujui;11/26/2024
Ani Nugroho;aninugroho99@gmail.com;4025606038;KTP;11/05/2024;Ditolak;11/08/2024
Dedi Wijaya;dediwijaya42@gmail.com;3183954043;Akta Kematian;11/01/2024;Disetujui;11/04/2024
Muhammad Andriani;muhammadandriani29@gmail.com;7116086854;Akta Kelahiran;4/18/2025;Ditolak;4/19/2025
Rita Setiawan;ritasetiawan87@gmail.com;9831913798;Akta Kelahiran;9/30/2024;Diproses;10/04/2024
Iwan Setiawan;iwansetiawan72@gmail.com;2586993831;Kartu Keluarga;11/19/2024;Diproses;11/22/2024
Budi Prasetyo;budiprasetyo68@gmail.com;3368278988;Akta Kematian;3/14/2025;Diproses;3/19/2025
Indah Hidayat;indahhidayat67@gmail.com;4949502904;KTP;10/24/2024;Diproses;10/27/2024
Budi Susanto;budisusanto57@gmail.com;5284309786;Kartu Keluarga;08/04/2024;Disetujui;08/09/2024
Rita Setiawan;ritasetiawan71@gmail.com;9602865142;Kartu Keluarga;12/07/2024;Diproses;12/09/2024
Agus Prasetyo;agusprasetyo71@gmail.com;158405495;Akta Kelahiran;7/21/2024;Disetujui;7/27/2024
Ahmad Hartono;ahmadhartono55@gmail.com;5341062991;KTP;08/09/2024;Disetujui;08/11/2024
Muhammad Nugroho;muhammadnugroho12@gmail.com;466428955;Kartu Keluarga;10/31/2024;Ditolak;11/05/2024
Rudi Hidayat;rudihidayat80@gmail.com;4250054962;KTP;3/19/2025;Diproses;3/24/2025
Yuni Sirait;yunisirait88@gmail.com;2080236889;Kartu Keluarga;05/09/2025;Ditolak;5/13/2025
Nurul Hidayat;nurulhidayat49@gmail.com;9334776453;Akta Kematian;8/23/2024;Ditolak;8/27/2024
Rudi Setiawan;rudisetiawan69@gmail.com;5928463408;Akta Kelahiran;4/14/2025;Ditolak;4/16/2025
Slamet Santoso;slametsantoso69@gmail.com;9586969296;KTP;10/31/2024;Ditolak;11/04/2024
Budi Nugroho;budinugroho38@gmail.com;7642666873;KTP;9/29/2024;Ditolak;10/02/2024
Budi Gunawan;budigunawan74@gmail.com;7147344635;Akta Kelahiran;06/09/2024;Disetujui;6/14/2024
Fitri Hutapea;fitrihutapea61@gmail.com;8811142940;Akta Kelahiran;4/13/2025;Disetujui;4/19/2025
Budi Pranoto;budipranoto98@gmail.com;5798552686;Kartu Keluarga;8/15/2024;Disetujui;8/18/2024
Eko Pranoto;ekopranoto72@gmail.com;7550215892;Kartu Keluarga;12/09/2024;Ditolak;12/11/2024
Slamet Santoso;slametsantoso94@gmail.com;4548849804;KTP;08/03/2024;Disetujui;08/04/2024
Dewi Susanto;dewisusanto33@gmail.com;355251375;Akta Kematian;09/09/2024;Ditolak;09/12/2024
Siti Hidayat;sitihidayat22@gmail.com;7090266906;Akta Kelahiran;10/01/2024;Ditolak;10/03/2024
Rini Pranoto;rinipranoto48@gmail.com;8082548420;Akta Kelahiran;5/24/2024;Disetujui;5/27/2024
Dewi Wijaya;dewiwijaya12@gmail.com;883336712;Akta Kematian;12/11/2024;Disetujui;12/18/2024
Ani Sirait;anisirait88@gmail.com;4811317280;Akta Kelahiran;12/19/2024;Disetujui;12/24/2024
Eko Wijaya;ekowijaya80@gmail.com;2585010174;Akta Kematian;9/21/2024;Disetujui;9/28/2024
Nurul Sirait;nurulsirait79@gmail.com;4303117629;Akta Kelahiran;10/07/2024;Ditolak;10/12/2024
Rudi Gunawan;rudigunawan39@gmail.com;5035540324;KTP;9/29/2024;Ditolak;10/05/2024
Wati Hartono;watihartono24@gmail.com;7477437597;Akta Kematian;2/13/2025;Ditolak;2/17/2025
Yuni Andriani;yuniandriani11@gmail.com;4197270023;Akta Kelahiran;2/18/2025;Diproses;2/19/2025
Indah Prasetyo;indahprasetyo30@gmail.com;5130561578;Akta Kelahiran;11/27/2024;Disetujui;12/03/2024
Indah Andriani;indahandriani68@gmail.com;8248658360;KTP;04/05/2025;Ditolak;04/07/2025
Muhammad Santoso;muhammadsantoso14@gmail.com;1526781463;Akta Kelahiran;08/06/2024;Disetujui;08/12/2024
Ahmad Kurniawan;ahmadkurniawan81@gmail.com;6313135797;Akta Kematian;5/30/2024;Disetujui;06/05/2024
Hendro Hartono;hendrohartono88@gmail.com;9262197231;KTP;2/15/2025;Ditolak;2/17/2025
Ani Hutapea;anihutapea66@gmail.com;903607949;Akta Kematian;07/05/2024;Diproses;07/11/2024
Yulio Wijaya;yuliowijaya19@gmail.com;9052082933;KTP;02/10/2025;Disetujui;2/15/2025
Indah Hidayat;indahhidayat43@gmail.com;3346929402;Kartu Keluarga;1/16/2025;Disetujui;1/20/2025
Erni Gunawan;ernigunawan76@gmail.com;7057032277;Akta Kelahiran;02/04/2025;Diproses;02/05/2025
Wati Saputra;watisaputra91@gmail.com;8003770801;KTP;02/03/2025;Diproses;02/05/2025
Fitri Wijaya;fitriwijaya85@gmail.com;1175547536;Akta Kematian;08/07/2024;Diproses;8/14/2024
Eko Wijaya;ekowijaya35@gmail.com;562179612;KTP;12/21/2024;Ditolak;12/25/2024
Erni Prasetyo;erniprasetyo24@gmail.com;4702861973;Kartu Keluarga;06/12/2024;Ditolak;6/14/2024
Lia Nugroho;lianugroho57@gmail.com;5990288656;Kartu Keluarga;10/28/2024;Diproses;10/31/2024
Yulio Gunawan;yuliogunawan81@gmail.com;2415906523;Kartu Keluarga;12/14/2024;Ditolak;12/21/2024
Lia Andriani;liaandriani74@gmail.com;5775348691;Akta Kematian;11/10/2024;Disetujui;11/17/2024
Nurul Gunawan;nurulgunawan12@gmail.com;193844752;Akta Kematian;10/21/2024;Disetujui;10/24/2024
Rudi Nugroho;rudinugroho77@gmail.com;5148226011;Akta Kelahiran;07/03/2024;Diproses;07/08/2024
Muhammad Andriani;muhammadandriani89@gmail.com;6877125824;Akta Kelahiran;1/23/2025;Ditolak;1/28/2025
Yulio Andriani;yulioandriani24@gmail.com;4500068994;Kartu Keluarga;06/12/2024;Diproses;6/14/2024
Yulio Sirait;yuliosirait83@gmail.com;5558149210;Akta Kelahiran;10/04/2024;Disetujui;10/09/2024
Dedi Santoso;dedisantoso85@gmail.com;393406292;KTP;10/09/2024;Ditolak;10/13/2024
Rudi Nugroho;rudinugroho12@gmail.com;3989847372;KTP;2/26/2025;Disetujui;03/01/2025
Eko Nugroho;ekonugroho48@gmail.com;375193200;Akta Kematian;10/21/2024;Disetujui;10/24/2024
Hadi Setiawan;hadisetiawan13@gmail.com;4916914322;Kartu Keluarga;12/15/2024;Diproses;12/22/2024
Hendro Prasetyo;hendroprasetyo14@gmail.com;7550149030;Akta Kelahiran;11/04/2024;Disetujui;11/06/2024
Lia Andriani;liaandriani93@gmail.com;7946452839;Kartu Keluarga;07/02/2024;Diproses;07/07/2024
Rita Sirait;ritasirait64@gmail.com;3896473711;Kartu Keluarga;10/14/2024;Diproses;10/15/2024
Taufik Hutapea;taufikhutapea91@gmail.com;5876595921;Kartu Keluarga;9/16/2024;Diproses;9/21/2024
Yuni Nugroho;yuninugroho59@gmail.com;3628414570;Kartu Keluarga;8/14/2024;Disetujui;8/16/2024
Agus Kurniawan;aguskurniawan39@gmail.com;3475603235;Kartu Keluarga;10/03/2024;Disetujui;10/07/2024
Muhammad Hidayat;muhammadhidayat80@gmail.com;6324000853;KTP;6/19/2024;Ditolak;6/23/2024
Erni Nugroho;erninugroho71@gmail.com;6059638586;KTP;11/04/2024;Diproses;11/10/2024
Taufik Prasetyo;taufikprasetyo93@gmail.com;7588024532;Akta Kelahiran;08/05/2024;Diproses;08/12/2024
Rita Susanto;ritasusanto49@gmail.com;8405424705;Akta Kematian;5/14/2025;Disetujui;5/16/2025
Lia Prasetyo;liaprasetyo26@gmail.com;1465698731;Kartu Keluarga;2/22/2025;Disetujui;2/24/2025
Dedi Prasetyo;dediprasetyo75@gmail.com;1785735703;Kartu Keluarga;06/06/2024;Diproses;06/10/2024
Adi Saputra;adisaputra14@gmail.com;1232110080;Akta Kematian;7/19/2024;Disetujui;7/26/2024
Taufik Prasetyo;taufikprasetyo39@gmail.com;7450583522;Akta Kelahiran;7/18/2024;Disetujui;7/20/2024
Bambang Susanto;bambangsusanto33@gmail.com;8142770333;Akta Kelahiran;2/16/2025;Ditolak;2/17/2025
Dedi Kurniawan;dedikurniawan42@gmail.com;261175950;KTP;08/07/2024;Ditolak;8/14/2024
Rita Saputra;ritasaputra45@gmail.com;8685366127;KTP;12/28/2024;Disetujui;01/04/2025
Hadi Santoso;hadisantoso98@gmail.com;9895287558;Akta Kelahiran;2/21/2025;Ditolak;2/26/2025
Erni Gunawan;ernigunawan15@gmail.com;3553440272;Kartu Keluarga;11/17/2024;Diproses;11/19/2024
Hendro Hidayat;hendrohidayat36@gmail.com;1156204826;Kartu Keluarga;1/25/2025;Ditolak;1/29/2025
Rina Pranoto;rinapranoto44@gmail.com;8777406905;KTP;11/21/2024;Disetujui;11/26/2024
Wati Setiawan;watisetiawan56@gmail.com;3493087995;Akta Kelahiran;11/04/2024;Diproses;11/08/2024
Indah Hutapea;indahhutapea91@gmail.com;4881033259;Akta Kematian;12/05/2024;Disetujui;12/07/2024
Muhammad Pranoto;muhammadpranoto45@gmail.com;5860122706;KTP;10/11/2024;Disetujui;10/15/2024
Susan Santoso;susansantoso82@gmail.com;5770404970;Akta Kelahiran;12/22/2024;Diproses;12/26/2024
Eko Pranoto;ekopranoto93@gmail.com;364652993;Akta Kelahiran;5/19/2024;Ditolak;5/21/2024
Rina Susanto;rinasusanto47@gmail.com;6486695864;Akta Kematian;8/14/2024;Diproses;8/18/2024
Fitri Gunawan;fitrigunawan68@gmail.com;6923722499;Akta Kelahiran;05/07/2025;Disetujui;5/13/2025
Rudi Kurniawan;rudikurniawan14@gmail.com;8227592657;Akta Kematian;11/10/2024;Diproses;11/13/2024
