NIK;Nama;Alamat_Asal;Alamat_Tujuan;Alasan_Kepindahan;Tanggal_Kepindahan
4619366872;Nurul Santoso;Jalan Ahmad Yani No. 73, Kota Sumatera Barat, Sumatera Barat, 89754;Jalan Veteran No. 46, Kota Sumatera Utara, Sumatera Utara, 59290;Pekerjaan;08/04/2014
8857769021;Budi Wijaya;Jalan Veteran No. 97, Kota Jawa Tengah, Jawa Tengah, 83164;Jalan Merdeka No. 73, Kota DKI Jakarta, DKI Jakarta, 78849;Pendidikan;03/08/2021
8943442033;Maya Sirait;Jalan Gatot Subroto No. 82, Kota Bali, Bali, 52416;Jalan Sudirman No. 9, Kota Banten, Banten, 23999;Lainnya;06/07/2002
3442558310;Indah Wijaya;Jalan Ahmad Yani No. 56, Kota Jawa Barat, Jawa Barat, 97726;Jalan Veteran No. 100, Kota Jawa Barat, Jawa Barat, 27684;Pendidikan;07/28/2004
5331945019;Taufik Prasetyo;Jalan Ahmad Yani No. 21, Kota Jawa Timur, Jawa Timur, 96942;Jalan Gatot Subroto No. 21, Kota Jawa Barat, Jawa Barat, 90310;Lainnya;04/11/2004
5118506495;Fitri Pranoto;Jalan Ahmad Yani No. 85, Kota Jawa Timur, Jawa Timur, 45873;Jalan Sudirman No. 18, Kota Jawa Tengah, Jawa Tengah, 31849;Pendidikan;08/06/2011
2831550399;Lia Andriani;Jalan Veteran No. 39, Kota Bali, Bali, 31326;Jalan Ahmad Yani No. 60, Kota Jawa Timur, Jawa Timur, 10488;Keluarga;01/05/2008
8225605119;Fitri Hartono;Jalan Ahmad Yani No. 96, Kota Sumatera Utara, Sumatera Utara, 22646;Jalan Diponegoro No. 12, Kota Jawa Barat, Jawa Barat, 85014;Pendidikan;08/06/2018
1390266527;Susan Nugroho;Jalan Gatot Subroto No. 94, Kota Bali, Bali, 77327;Jalan Ahmad Yani No. 91, Kota Bali, Bali, 38493;Pendidikan;04/01/2001
3605823011;Erni Pranoto;Jalan Sudirman No. 1, Kota Jawa Barat, Jawa Barat, 43642;Jalan Diponegoro No. 85, Kota DKI Jakarta, DKI Jakarta, 75215;Lainnya;01/16/2009
6063059718;Agus Setiawan;Jalan Veteran No. 68, Kota Jawa Barat, Jawa Barat, 53184;Jalan Sudirman No. 87, Kota Jawa Timur, Jawa Timur, 74537;Keluarga;04/21/2001
4403976837;Ani Santoso;Jalan Sudirman No. 66, Kota Sumatera Utara, Sumatera Utara, 48619;Jalan Ahmad Yani No. 11, Kota Bali, Bali, 99557;Keluarga;09/05/2014
9768186047;Dedi Saputra;Jalan Sudirman No. 17, Kota DKI Jakarta, DKI Jakarta, 83768;Jalan Diponegoro No. 9, Kota Jawa Tengah, Jawa Tengah, 29249;Pendidikan;01/27/2018
1547369927;Slamet Setiawan;Jalan Diponegoro No. 73, Kota Jawa Tengah, Jawa Tengah, 22773;Jalan Gatot Subroto No. 25, Kota Sumatera Barat, Sumatera Barat, 27963;Pendidikan;08/21/2012
8855399159;Susan Setiawan;Jalan Veteran No. 22, Kota Jawa Timur, Jawa Timur, 51049;Jalan Sudirman No. 78, Kota Jawa Barat, Jawa Barat, 96955;Pekerjaan;01/21/2023
7679643398;Dedi Prasetyo;Jalan Sudirman No. 79, Kota Jawa Barat, Jawa Barat, 24867;Jalan Merdeka No. 99, Kota Jawa Tengah, Jawa Tengah, 71744;Pendidikan;10/06/2011
9159283578;Susan Saputra;Jalan Ahmad Yani No. 15, Kota Sumatera Utara, Sumatera Utara, 59796;Jalan Diponegoro No. 10, Kota DKI Jakarta, DKI Jakarta, 57442;Lainnya;12/06/2019
9315804934;Adi Hidayat;Jalan Gatot Subroto No. 77, Kota DKI Jakarta, DKI Jakarta, 85433;Jalan Merdeka No. 2, Kota DKI Jakarta, DKI Jakarta, 46963;Pendidikan;09/04/2023
8977274701;Rina Nugroho;Jalan Ahmad Yani No. 22, Kota Jawa Timur, Jawa Timur, 33345;Jalan Diponegoro No. 47, Kota DKI Jakarta, DKI Jakarta, 71829;Keluarga;06/16/2015
4821255752;Yuni Hutapea;Jalan Ahmad Yani No. 8, Kota Banten, Banten, 85392;Jalan Ahmad Yani No. 1, Kota Sumatera Utara, Sumatera Utara, 70538;Pekerjaan;02/12/2021
9700569794;Susan Nugroho;Jalan Sudirman No. 17, Kota Jawa Tengah, Jawa Tengah, 12584;Jalan Sudirman No. 55, Kota Sumatera Barat, Sumatera Barat, 77284;Lainnya;01/03/2016
7610220361;Yulio Hidayat;Jalan Ahmad Yani No. 26, Kota Sumatera Utara, Sumatera Utara, 80620;Jalan Merdeka No. 11, Kota Banten, Banten, 47072;Lainnya;09/17/2001
4203013938;Rita Kurniawan;Jalan Sudirman No. 52, Kota Jawa Timur, Jawa Timur, 66770;Jalan Ahmad Yani No. 67, Kota Jawa Timur, Jawa Timur, 93204;Lainnya;05/25/2005
1613979743;Iwan Prasetyo;Jalan Diponegoro No. 21, Kota Jawa Barat, Jawa Barat, 62440;Jalan Sudirman No. 53, Kota Sumatera Utara, Sumatera Utara, 90544;Pendidikan;12/30/2008
6618676888;Eko Hutapea;Jalan Gatot Subroto No. 8, Kota Bali, Bali, 66615;Jalan Ahmad Yani No. 80, Kota Bali, Bali, 88539;Pekerjaan;03/27/2023
6219986159;Rita Gunawan;Jalan Gatot Subroto No. 19, Kota DKI Jakarta, DKI Jakarta, 74909;Jalan Ahmad Yani No. 98, Kota Banten, Banten, 57778;Pekerjaan;08/04/2016
6268029787;Muhammad Andriani;Jalan Veteran No. 81, Kota Banten, Banten, 49088;Jalan Sudirman No. 33, Kota Jawa Barat, Jawa Barat, 31990;Lainnya;11/20/2005
5379087845;Erni Kurniawan;Jalan Sudirman No. 46, Kota DKI Jakarta, DKI Jakarta, 91698;Jalan Merdeka No. 100, Kota Sumatera Utara, Sumatera Utara, 33315;Pekerjaan;06/02/2014
4676683026;Ahmad Sirait;Jalan Gatot Subroto No. 56, Kota DKI Jakarta, DKI Jakarta, 74611;Jalan Diponegoro No. 98, Kota Jawa Timur, Jawa Timur, 32903;Pekerjaan;02/21/2024
3781388421;Eko Hartono;Jalan Gatot Subroto No. 99, Kota DKI Jakarta, DKI Jakarta, 83851;Jalan Diponegoro No. 52, Kota Jawa Barat, Jawa Barat, 97186;Pekerjaan;06/02/2014
5127453456;Budi Susanto;Jalan Diponegoro No. 65, Kota Sumatera Barat, Sumatera Barat, 97171;Jalan Ahmad Yani No. 48, Kota Banten, Banten, 10069;Lainnya;03/21/2015
6748738142;Rita Hidayat;Jalan Gatot Subroto No. 62, Kota DKI Jakarta, DKI Jakarta, 69324;Jalan Ahmad Yani No. 13, Kota Sumatera Utara, Sumatera Utara, 87263;Pekerjaan;07/23/2017
3718528161;Siti Setiawan;Jalan Sudirman No. 60, Kota Jawa Barat, Jawa Barat, 44705;Jalan Veteran No. 60, Kota DKI Jakarta, DKI Jakarta, 96538;Pendidikan;12/10/2019
1429078929;Erni Prasetyo;Jalan Veteran No. 24, Kota Jawa Timur, Jawa Timur, 75439;Jalan Diponegoro No. 68, Kota Sumatera Barat, Sumatera Barat, 34294;Lainnya;05/12/2023
1880710242;Fitri Hutapea;Jalan Ahmad Yani No. 96, Kota DKI Jakarta, DKI Jakarta, 34202;Jalan Veteran No. 79, Kota Sumatera Utara, Sumatera Utara, 54880;Lainnya;11/15/2013
3688693820;Rita Prasetyo;Jalan Gatot Subroto No. 22, Kota Sumatera Barat, Sumatera Barat, 15486;Jalan Veteran No. 56, Kota Jawa Timur, Jawa Timur, 92442;Pendidikan;09/15/2022
5528688814;Siti Hutapea;Jalan Gatot Subroto No. 65, Kota DKI Jakarta, DKI Jakarta, 83977;Jalan Veteran No. 42, Kota Bali, Bali, 39534;Lainnya;09/03/2023
2681284693;Budi Andriani;Jalan Veteran No. 1, Kota Jawa Barat, Jawa Barat, 21656;Jalan Gatot Subroto No. 87, Kota Banten, Banten, 59394;Keluarga;01/13/2015
7134052736;Nurul Santoso;Jalan Diponegoro No. 98, Kota Bali, Bali, 23629;Jalan Sudirman No. 83, Kota DKI Jakarta, DKI Jakarta, 62659;Lainnya;07/04/2023
7293695953;Dewi Prasetyo;Jalan Merdeka No. 26, Kota DKI Jakarta, DKI Jakarta, 55199;Jalan Merdeka No. 26, Kota Bali, Bali, 13056;Lainnya;05/03/2014
1285324930;Fitri Susanto;Jalan Gatot Subroto No. 47, Kota Jawa Timur, Jawa Timur, 89622;Jalan Gatot Subroto No. 10, Kota DKI Jakarta, DKI Jakarta, 53387;Keluarga;03/20/2021
9759396358;Agus Pranoto;Jalan Diponegoro No. 20, Kota Jawa Barat, Jawa Barat, 35044;Jalan Sudirman No. 55, Kota Jawa Barat, Jawa Barat, 23224;Keluarga;02/05/2013
1829311541;Rini Andriani;Jalan Veteran No. 26, Kota Sumatera Barat, Sumatera Barat, 60073;Jalan Veteran No. 44, Kota Jawa Tengah, Jawa Tengah, 20498;Pendidikan;02/05/2015
6035535023;Erni Pranoto;Jalan Ahmad Yani No. 10, Kota Sumatera Utara, Sumatera Utara, 32562;Jalan Ahmad Yani No. 10, Kota Sumatera Utara, Sumatera Utara, 29888;Pekerjaan;11/26/2000
2361558249;Ani Setiawan;Jalan Sudirman No. 23, Kota Jawa Tengah, Jawa Tengah, 40663;Jalan Diponegoro No. 28, Kota Sumatera Utara, Sumatera Utara, 37749;Pendidikan;07/01/2024
3502781099;Erni Saputra;Jalan Merdeka No. 59, Kota Sumatera Utara, Sumatera Utara, 65076;Jalan Diponegoro No. 30, Kota Jawa Tengah, Jawa Tengah, 41323;Lainnya;11/14/2015
5007340168;Budi Susanto;Jalan Gatot Subroto No. 89, Kota Jawa Barat, Jawa Barat, 76315;Jalan Veteran No. 33, Kota Jawa Barat, Jawa Barat, 52349;Lainnya;10/30/2006
8300886181;Taufik Prasetyo;Jalan Gatot Subroto No. 89, Kota DKI Jakarta, DKI Jakarta, 72252;Jalan Diponegoro No. 59, Kota Bali, Bali, 78658;Keluarga;12/12/2024
106425280;Hendro Setiawan;Jalan Merdeka No. 97, Kota Banten, Banten, 31759;Jalan Gatot Subroto No. 82, Kota Sumatera Utara, Sumatera Utara, 13600;Pendidikan;02/27/2014
2062883802;Nurul Saputra;Jalan Ahmad Yani No. 55, Kota Bali, Bali, 77049;Jalan Veteran No. 68, Kota Sumatera Barat, Sumatera Barat, 63397;Pendidikan;10/22/2019
1611359647;Erni Setiawan;Jalan Sudirman No. 99, Kota Sumatera Barat, Sumatera Barat, 44748;Jalan Veteran No. 85, Kota Jawa Timur, Jawa Timur, 95679;Pekerjaan;10/07/2008
1197275704;Yulio Kurniawan;Jalan Diponegoro No. 9, Kota Banten, Banten, 68647;Jalan Gatot Subroto No. 81, Kota Banten, Banten, 12218;Pendidikan;05/16/2019
9627871107;Yulio Hutapea;Jalan Gatot Subroto No. 76, Kota Jawa Timur, Jawa Timur, 12696;Jalan Diponegoro No. 74, Kota Sumatera Barat, Sumatera Barat, 54549;Pekerjaan;06/24/2022
2015993852;Fitri Sirait;Jalan Ahmad Yani No. 14, Kota Sumatera Barat, Sumatera Barat, 29886;Jalan Veteran No. 57, Kota Sumatera Barat, Sumatera Barat, 38194;Pendidikan;05/30/2014
3613268049;Wati Kurniawan;Jalan Gatot Subroto No. 99, Kota Jawa Tengah, Jawa Tengah, 10276;Jalan Merdeka No. 44, Kota Jawa Barat, Jawa Barat, 34278;Keluarga;03/07/2001
6129766167;Agus Hidayat;Jalan Ahmad Yani No. 21, Kota Bali, Bali, 79149;Jalan Diponegoro No. 48, Kota Jawa Tengah, Jawa Tengah, 76988;Keluarga;09/26/2008
7712681138;Dewi Hutapea;Jalan Sudirman No. 9, Kota Jawa Tengah, Jawa Tengah, 18274;Jalan Gatot Subroto No. 19, Kota Bali, Bali, 36410;Lainnya;11/23/2003
9393883727;Eko Prasetyo;Jalan Gatot Subroto No. 86, Kota Jawa Barat, Jawa Barat, 91731;Jalan Sudirman No. 65, Kota Jawa Timur, Jawa Timur, 94837;Pendidikan;05/02/2023
9572095678;Ani Sirait;Jalan Sudirman No. 17, Kota Bali, Bali, 16831;Jalan Diponegoro No. 9, Kota Sumatera Barat, Sumatera Barat, 74721;Lainnya;05/21/2013
1799264962;Rina Nugroho;Jalan Ahmad Yani No. 79, Kota Sumatera Utara, Sumatera Utara, 24875;Jalan Diponegoro No. 6, Kota Banten, Banten, 70536;Pendidikan;05/27/2009
942101754;Eko Wijaya;Jalan Gatot Subroto No. 31, Kota Sumatera Barat, Sumatera Barat, 37407;Jalan Merdeka No. 59, Kota Bali, Bali, 72915;Pekerjaan;03/24/2023
1805712899;Dewi Prasetyo;Jalan Diponegoro No. 89, Kota Jawa Timur, Jawa Timur, 94769;Jalan Merdeka No. 20, Kota DKI Jakarta, DKI Jakarta, 48099;Keluarga;02/04/2005
5543235068;Rita Hidayat;Jalan Gatot Subroto No. 44, Kota DKI Jakarta, DKI Jakarta, 47779;Jalan Gatot Subroto No. 13, Kota DKI Jakarta, DKI Jakarta, 54144;Lainnya;07/13/2000
8660020767;Maya Nugroho;Jalan Gatot Subroto No. 74, Kota DKI Jakarta, DKI Jakarta, 45753;Jalan Veteran No. 43, Kota Jawa Timur, Jawa Timur, 67747;Keluarga;11/26/2001
4252132218;Dedi Wijaya;Jalan Merdeka No. 39, Kota Jawa Tengah, Jawa Tengah, 80677;Jalan Ahmad Yani No. 54, Kota Jawa Tengah, Jawa Tengah, 80268;Keluarga;09/22/2010
1812009633;Rini Hartono;Jalan Diponegoro No. 24, Kota Sumatera Utara, Sumatera Utara, 53390;Jalan Merdeka No. 83, Kota Sumatera Barat, Sumatera Barat, 26287;Keluarga;07/10/2006
6420028144;Bambang Kurniawan;Jalan Gatot Subroto No. 95, Kota Bali, Bali, 35416;Jalan Veteran No. 47, Kota Jawa Tengah, Jawa Tengah, 57720;Pendidikan;10/31/2016
6420202663;Slamet Pranoto;Jalan Merdeka No. 19, Kota Jawa Tengah, Jawa Tengah, 82643;Jalan Sudirman No. 60, Kota Sumatera Utara, Sumatera Utara, 96359;Pekerjaan;01/01/2016
5496247842;Slamet Prasetyo;Jalan Sudirman No. 44, Kota Jawa Tengah, Jawa Tengah, 27474;Jalan Ahmad Yani No. 78, Kota Sumatera Utara, Sumatera Utara, 25844;Pendidikan;07/07/2014
388444305;Rini Hartono;Jalan Veteran No. 39, Kota Sumatera Barat, Sumatera Barat, 53480;Jalan Gatot Subroto No. 93, Kota DKI Jakarta, DKI Jakarta, 41077;Lainnya;10/03/2005
1391313136;Nurul Nugroho;Jalan Ahmad Yani No. 6, Kota Bali, Bali, 70043;Jalan Gatot Subroto No. 45, Kota Sumatera Utara, Sumatera Utara, 66505;Pendidikan;10/16/2016
8604392000;Slamet Hidayat;Jalan Merdeka No. 24, Kota Jawa Timur, Jawa Timur, 87313;Jalan Gatot Subroto No. 62, Kota DKI Jakarta, DKI Jakarta, 20764;Pendidikan;02/19/2006
2493467523;Siti Gunawan;Jalan Merdeka No. 57, Kota Jawa Tengah, Jawa Tengah, 44767;Jalan Veteran No. 78, Kota Bali, Bali, 69487;Keluarga;07/28/2009
4247831529;Hendro Andriani;Jalan Sudirman No. 98, Kota DKI Jakarta, DKI Jakarta, 48326;Jalan Sudirman No. 41, Kota Sumatera Utara, Sumatera Utara, 39056;Keluarga;10/07/2017
6492362427;Susan Prasetyo;Jalan Veteran No. 77, Kota Banten, Banten, 47889;Jalan Veteran No. 92, Kota Jawa Tengah, Jawa Tengah, 35982;Pendidikan;11/12/2023
1880502032;Erni Sirait;Jalan Veteran No. 41, Kota Banten, Banten, 86354;Jalan Sudirman No. 89, Kota Banten, Banten, 66211;Keluarga;06/05/2012
3452388978;Bambang Sirait;Jalan Ahmad Yani No. 5, Kota Bali, Bali, 43247;Jalan Gatot Subroto No. 79, Kota DKI Jakarta, DKI Jakarta, 26569;Pendidikan;12/22/2008
613308944;Taufik Hutapea;Jalan Merdeka No. 30, Kota Sumatera Barat, Sumatera Barat, 74900;Jalan Diponegoro No. 45, Kota Sumatera Utara, Sumatera Utara, 81087;Lainnya;05/25/2015
9473693513;Rudi Hidayat;Jalan Gatot Subroto No. 28, Kota Jawa Tengah, Jawa Tengah, 13242;Jalan Diponegoro No. 37, Kota Jawa Barat, Jawa Barat, 77897;Pendidikan;10/18/2005
7994487163;Susan Prasetyo;Jalan Merdeka No. 32, Kota Bali, Bali, 72589;Jalan Merdeka No. 56, Kota DKI Jakarta, DKI Jakarta, 46085;Keluarga;09/09/2001
4664603210;Iwan Saputra;Jalan Sudirman No. 25, Kota Jawa Tengah, Jawa Tengah, 72644;Jalan Sudirman No. 59, Kota Jawa Timur, Jawa Timur, 94020;Lainnya;10/24/2008
8773393752;Ahmad Saputra;Jalan Veteran No. 12, Kota DKI Jakarta, DKI Jakarta, 44071;Jalan Diponegoro No. 83, Kota Jawa Tengah, Jawa Tengah, 87441;Pekerjaan;01/27/2004
9209895824;Budi Kurniawan;Jalan Gatot Subroto No. 20, Kota Jawa Barat, Jawa Barat, 54447;Jalan Merdeka No. 91, Kota DKI Jakarta, DKI Jakarta, 70161;Lainnya;04/21/2021
7619110055;Slamet Gunawan;Jalan Sudirman No. 94, Kota Sumatera Utara, Sumatera Utara, 76186;Jalan Veteran No. 93, Kota Banten, Banten, 32709;Pendidikan;04/23/2020
449836018;Muhammad Susanto;Jalan Diponegoro No. 5, Kota Jawa Timur, Jawa Timur, 72751;Jalan Merdeka No. 62, Kota Sumatera Barat, Sumatera Barat, 63817;Lainnya;04/15/2004
4184430331;Siti Pranoto;Jalan Merdeka No. 46, Kota Sumatera Utara, Sumatera Utara, 63111;Jalan Gatot Subroto No. 76, Kota Jawa Tengah, Jawa Tengah, 51969;Pekerjaan;07/27/2009
777394212;Wati Andriani;Jalan Diponegoro No. 82, Kota Banten, Banten, 15406;Jalan Merdeka No. 21, Kota Bali, Bali, 36661;Pekerjaan;06/08/2021
8683833543;Iwan Sirait;Jalan Diponegoro No. 35, Kota Jawa Barat, Jawa Barat, 76416;Jalan Merdeka No. 36, Kota Banten, Banten, 32809;Pekerjaan;10/01/2019
5286264690;Muhammad Prasetyo;Jalan Gatot Subroto No. 27, Kota Bali, Bali, 59111;Jalan Gatot Subroto No. 28, Kota DKI Jakarta, DKI Jakarta, 20549;Keluarga;08/12/2014
3460104595;Rita Pranoto;Jalan Diponegoro No. 98, Kota Jawa Tengah, Jawa Tengah, 27754;Jalan Ahmad Yani No. 77, Kota Jawa Tengah, Jawa Tengah, 84547;Pekerjaan;12/21/2020
2980708452;Erni Andriani;Jalan Merdeka No. 16, Kota Jawa Timur, Jawa Timur, 28318;Jalan Ahmad Yani No. 19, Kota Jawa Timur, Jawa Timur, 34874;Keluarga;01/13/2003
7979780169;Ahmad Hidayat;Jalan Sudirman No. 80, Kota Sumatera Barat, Sumatera Barat, 88221;Jalan Diponegoro No. 7, Kota Banten, Banten, 81706;Lainnya;08/06/2018
6779612978;Nurul Susanto;Jalan Merdeka No. 67, Kota Jawa Timur, Jawa Timur, 27147;Jalan Ahmad Yani No. 97, Kota Bali, Bali, 53307;Pendidikan;05/28/2005
6898014650;Dedi Hutapea;Jalan Ahmad Yani No. 94, Kota Sumatera Barat, Sumatera Barat, 74117;Jalan Sudirman No. 42, Kota Sumatera Barat, Sumatera Barat, 35011;Pendidikan;06/30/2009
873358895;Bambang Wijaya;Jalan Merdeka No. 100, Kota Sumatera Barat, Sumatera Barat, 77256;Jalan Merdeka No. 54, Kota Banten, Banten, 18782;Pendidikan;06/14/2008
7102937748;Ani Saputra;Jalan Diponegoro No. 87, Kota Jawa Barat, Jawa Barat, 76411;Jalan Gatot Subroto No. 71, Kota Jawa Tengah, Jawa Tengah, 13376;Pekerjaan;01/06/2014
2864219960;Wati Susanto;Jalan Merdeka No. 31, Kota Banten, Banten, 56792;Jalan Veteran No. 58, Kota Sumatera Barat, Sumatera Barat, 67302;Lainnya;09/01/2004
8795104415;Nurul Setiawan;Jalan Ahmad Yani No. 63, Kota DKI Jakarta, DKI Jakarta, 92301;Jalan Merdeka No. 71, Kota Banten, Banten, 24589;Pekerjaan;05/01/2014
4394464000;Agus Hidayat;Jalan Gatot Subroto No. 17, Kota Jawa Tengah, Jawa Tengah, 50695;Jalan Gatot Subroto No. 13, Kota DKI Jakarta, DKI Jakarta, 48719;Lainnya;05/14/2012
7875186877;Yulio Andriani;Jalan Diponegoro No. 44, Kota Jawa Barat, Jawa Barat, 74140;Jalan Merdeka No. 88, Kota Jawa Barat, Jawa Barat, 90823;Lainnya;08/18/2024
8870431696;Rini Santoso;Jalan Merdeka No. 98, Kota Sumatera Utara, Sumatera Utara, 17768;Jalan Diponegoro No. 50, Kota DKI Jakarta, DKI Jakarta, 39830;Lainnya;02/09/2017
3803769092;Bambang Wijaya;Jalan Veteran No. 2, Kota Banten, Banten, 48803;Jalan Veteran No. 50, Kota Jawa Tengah, Jawa Tengah, 61470;Keluarga;01/22/2004
3742213072;Rini Setiawan;Jalan Gatot Subroto No. 94, Kota DKI Jakarta, DKI Jakarta, 72082;Jalan Gatot Subroto No. 8, Kota Jawa Timur, Jawa Timur, 40809;Keluarga;02/06/2024
8049194879;Ahmad Setiawan;Jalan Merdeka No. 100, Kota Banten, Banten, 39043;Jalan Gatot Subroto No. 50, Kota Sumatera Utara, Sumatera Utara, 40502;Pendidikan;03/28/2022
2969919504;Susan Andriani;Jalan Veteran No. 16, Kota Sumatera Barat, Sumatera Barat, 17385;Jalan Veteran No. 42, Kota DKI Jakarta, DKI Jakarta, 11942;Pekerjaan;07/29/2012
5906885186;Rita Pranoto;Jalan Veteran No. 17, Kota Bali, Bali, 85260;Jalan Ahmad Yani No. 43, Kota Bali, Bali, 17340;Lainnya;08/18/2021
6064004661;Erni Susanto;Jalan Merdeka No. 13, Kota Banten, Banten, 58160;Jalan Diponegoro No. 17, Kota Banten, Banten, 46497;Keluarga;11/03/2018
6717739500;Rina Hartono;Jalan Sudirman No. 67, Kota Bali, Bali, 73976;Jalan Merdeka No. 19, Kota Sumatera Utara, Sumatera Utara, 32340;Keluarga;10/21/2006
610741299;Siti Kurniawan;Jalan Gatot Subroto No. 27, Kota Jawa Timur, Jawa Timur, 93661;Jalan Ahmad Yani No. 32, Kota DKI Jakarta, DKI Jakarta, 14858;Keluarga;10/24/2013
6221260487;Muhammad Pranoto;Jalan Sudirman No. 78, Kota Jawa Tengah, Jawa Tengah, 83106;Jalan Merdeka No. 55, Kota Jawa Timur, Jawa Timur, 50040;Pendidikan;06/14/2008
4878114499;Wati Wijaya;Jalan Merdeka No. 26, Kota Banten, Banten, 77406;Jalan Ahmad Yani No. 86, Kota Sumatera Utara, Sumatera Utara, 76327;Keluarga;12/16/2000
2692978933;Muhammad Setiawan;Jalan Veteran No. 60, Kota Sumatera Utara, Sumatera Utara, 30747;Jalan Diponegoro No. 23, Kota Jawa Tengah, Jawa Tengah, 82403;Lainnya;01/01/2015
6288869068;Muhammad Gunawan;Jalan Veteran No. 28, Kota Bali, Bali, 30358;Jalan Ahmad Yani No. 68, Kota Jawa Barat, Jawa Barat, 69478;Keluarga;02/06/2017
6455223395;Siti Hutapea;Jalan Gatot Subroto No. 62, Kota Jawa Tengah, Jawa Tengah, 52865;Jalan Ahmad Yani No. 44, Kota Sumatera Utara, Sumatera Utara, 64420;Lainnya;05/04/2017
8971754665;Taufik Hidayat;Jalan Merdeka No. 37, Kota Sumatera Utara, Sumatera Utara, 95863;Jalan Gatot Subroto No. 43, Kota Sumatera Barat, Sumatera Barat, 84070;Lainnya;01/10/2024
3934273430;Adi Andriani;Jalan Ahmad Yani No. 22, Kota Banten, Banten, 18742;Jalan Gatot Subroto No. 49, Kota Banten, Banten, 92230;Keluarga;11/08/2004
